                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84117,                 1.5347,                 1.2014,                0.85307,                      1,                  0.995,                0.54966,                0.99769,                  3.467,                 1.3001,             0.00024882,             0.00024882,             0.00024882
                     36,                0.95651,                 1.3959,                 1.2544,                0.85307,                      1,                  0.995,                0.54966,                0.99769,                  3.467,                 1.3001,             0.00024651,             0.00024651,             0.00024651
                     37,                 1.0435,                 1.4025,                 1.1796,                 0.7992,                   0.75,                  0.945,                0.47817,                 1.0508,                 3.6001,                 1.3723,             0.00024365,             0.00024365,             0.00024365
                     38,                0.91731,                 1.5837,                 1.2678,                 0.7992,                   0.75,                  0.945,                0.47817,                 1.0508,                 3.6001,                 1.3723,             0.00024024,             0.00024024,             0.00024024
                     39,                0.95352,                 1.4645,                 1.1975,                0.78207,                   0.75,                  0.945,                  0.421,                 1.0443,                 3.7309,                 1.3858,             0.00023628,             0.00023628,             0.00023628
                     40,                 1.3257,                 1.4845,                  1.312,                0.78207,                   0.75,                  0.945,                  0.421,                 1.0443,                 3.7309,                 1.3858,             0.00023177,             0.00023177,             0.00023177
                     41,                 1.0037,                 1.3062,                 1.1482,                0.88315,                   0.75,                  0.945,                0.45434,                 1.0591,                 3.7969,                 1.4051,             0.00022671,             0.00022671,             0.00022671
                     42,                0.87069,                 1.3897,                 1.2041,                0.88315,                   0.75,                  0.945,                0.45434,                 1.0591,                 3.7969,                 1.4051,              0.0002211,              0.0002211,              0.0002211
                     43,                0.80474,                 1.4935,                 1.1122,                      1,                 0.7395,                  0.995,                0.42627,                 1.0616,                 3.8595,                 1.3883,             0.00021494,             0.00021494,             0.00021494
                     44,                0.91257,                 1.2444,                 1.1596,                      1,                 0.7395,                  0.995,                0.42627,                 1.0616,                 3.8595,                 1.3883,             0.00020823,             0.00020823,             0.00020823
                     45,                0.84139,                 1.2732,                 1.1168,                      1,                0.86655,                  0.995,                 0.4642,                 1.0559,                 3.8658,                 1.3742,             0.00020097,             0.00020097,             0.00020097
                     46,                 0.9203,                 1.3478,                 1.2199,                      1,                0.86655,                  0.995,                 0.4642,                 1.0559,                 3.8658,                 1.3742,             0.00019316,             0.00019316,             0.00019316
                     47,                0.92241,                 1.3809,                 1.2474,                      1,                0.90195,                  0.995,                0.50052,                 1.0802,                 3.7324,                 1.3277,              0.0001848,              0.0001848,              0.0001848
                     48,                0.84115,                 1.1652,                 1.1275,                      1,                0.90195,                  0.995,                0.50052,                 1.0802,                 3.7324,                 1.3277,             0.00017589,             0.00017589,             0.00017589
                     49,                0.84913,                 1.2075,                 1.1821,                      1,                0.81074,                  0.995,                0.60193,                 1.1377,                 3.7273,                 1.3039,             0.00016643,             0.00016643,             0.00016643
                     50,                0.74935,                 1.1395,                 1.1055,                      1,                0.81074,                  0.995,                0.60193,                 1.1377,                 3.7273,                 1.3039,             0.00015642,             0.00015642,             0.00015642
                     51,                0.85575,                 1.7278,                 1.2223,                      1,                0.79271,                  0.995,                0.64651,                 1.2441,                  3.541,                 1.3189,             0.00014586,             0.00014586,             0.00014586
                     52,                0.77124,                 1.3644,                 1.0033,                      1,                0.79271,                  0.995,                0.64651,                 1.2441,                  3.541,                 1.3189,             0.00013475,             0.00013475,             0.00013475
                     53,                 1.0569,                  1.551,                 1.2043,                      1,                0.79271,                  0.995,                0.64651,                 1.2441,                  3.541,                 1.3189,             0.00012309,             0.00012309,             0.00012309
                     54,                0.99946,                 1.7462,                 1.1796,                      1,                0.85168,                  0.995,                0.75843,                 1.0962,                 3.5464,                 1.2502,             0.00011088,             0.00011088,             0.00011088
                     55,                0.89846,                 1.3565,                 1.0847,                      1,                0.85168,                  0.995,                0.75843,                 1.0962,                 3.5464,                 1.2502,              9.812e-05,              9.812e-05,              9.812e-05
                     56,                0.96876,                 1.7079,                 1.1746,                      1,                0.85168,                  0.995,                0.75843,                 1.0962,                 3.5464,                 1.2502,             8.4809e-05,             8.4809e-05,             8.4809e-05
                     57,                0.98836,                 1.4193,                 1.1211,                      1,                0.91476,                  0.995,                0.80833,                 1.0192,                  3.385,                 1.2404,             7.0948e-05,             7.0948e-05,             7.0948e-05
                     58,                0.74043,                 1.3201,                  1.012,                      1,                0.91476,                  0.995,                0.80833,                 1.0192,                  3.385,                 1.2404,             5.6536e-05,             5.6536e-05,             5.6536e-05
                     59,                0.61874,                 1.2618,                 1.0817,                      1,                0.91476,                  0.995,                0.80833,                 1.0192,                  3.385,                 1.2404,             4.1575e-05,             4.1575e-05,             4.1575e-05
                     60,                0.87709,                 1.4599,                 1.1901,                      1,                 0.9433,                  0.995,                0.84561,                0.99448,                 3.2281,                 1.2403,             2.6064e-05,             2.6064e-05,             2.6064e-05
