                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7619,                 2.9738,                 1.8856,                      0,                      0,                      0,                      0,                      0,                 33.136,                      0,                      0,                      0,                      0
                      2,                 1.9814,                 3.0674,                 1.9926,                      0,                      0,                      0,                      0,                      0,                 33.164,                      0,             1.6395e-05,             1.6395e-05,             1.6395e-05
                      3,                 1.9267,                 2.9594,                 1.9997,                      0,                      0,                      0,                      0,                      0,                 33.191,                      0,              3.224e-05,              3.224e-05,              3.224e-05
                      4,                 1.6056,                 2.9763,                 1.7018,                      0,                      0,                      0,                      0,                      0,                  33.22,                      0,             4.7535e-05,             4.7535e-05,             4.7535e-05
                      5,                 1.9039,                 3.0522,                 1.8963,                      0,                      0,                      0,                      0,                      0,                 33.251,                      0,             6.2279e-05,             6.2279e-05,             6.2279e-05
                      6,                 1.6258,                 3.0627,                 1.6939,                      0,                      0,                      0,                      0,                      0,                 33.266,                      0,             7.6474e-05,             7.6474e-05,             7.6474e-05
                      7,                 1.2931,                 2.8924,                 1.4551,                      0,                      0,                      0,                      0,                      0,                 33.277,                      0,             9.0118e-05,             9.0118e-05,             9.0118e-05
                      8,                 1.5937,                 2.9808,                 1.6372,                      0,                      0,                      0,                      0,                      0,                 33.286,                      0,             0.00010321,             0.00010321,             0.00010321
                      9,                 1.5245,                 2.7517,                 1.6332,                      0,                      0,                      0,                      0,                      0,                 33.297,                      0,             0.00011576,             0.00011576,             0.00011576
                     10,                 1.4363,                  2.853,                 1.5505,                      0,                      0,                      0,                      0,                      0,                 33.303,                      0,             0.00012775,             0.00012775,             0.00012775
                     11,                   1.19,                 2.4723,                 1.4064,                      0,                      0,                      0,                      0,                      0,                 33.305,                      0,             0.00013919,             0.00013919,             0.00013919
                     12,                 1.2524,                 2.6048,                 1.4632,                      0,                      0,                      0,                      0,                      0,                 33.319,                      0,             0.00015009,             0.00015009,             0.00015009
                     13,                 1.2421,                 2.4532,                 1.4626,                      0,                      0,                      0,                      0,                      0,                 33.337,                      0,             0.00016043,             0.00016043,             0.00016043
                     14,                 1.3819,                 2.3453,                 1.5457,                      0,                      0,                      0,                      0,                      0,                 33.373,                      0,             0.00017023,             0.00017023,             0.00017023
                     15,                 1.2058,                 2.3666,                 1.4436,                      0,                      0,                      0,                      0,                      0,                 33.449,                      0,             0.00017947,             0.00017947,             0.00017947
                     16,                 1.2342,                 2.3537,                 1.4652,                      0,                      0,                      0,                      0,                      0,                 33.603,                      0,             0.00018816,             0.00018816,             0.00018816
                     17,                 1.1076,                 2.1403,                 1.3392,                      0,                      0,                      0,                      0,                      0,                 33.778,                      0,             0.00019631,             0.00019631,             0.00019631
                     18,                 1.2302,                 2.3007,                 1.3501,                      0,                      0,                      0,                      0,                      0,                 33.778,                      0,              0.0002039,              0.0002039,              0.0002039
                     19,                 1.1144,                  2.029,                 1.2694,                      0,                      0,                      0,                      0,                      0,                 34.049,                      0,             0.00021094,             0.00021094,             0.00021094
                     20,                 1.2029,                 1.9094,                 1.3607,                      0,                      0,                      0,                      0,                      0,                 34.049,                      0,             0.00021744,             0.00021744,             0.00021744
                     21,                 1.1462,                 2.0517,                 1.3087,                      0,                      0,                      0,                      0,                      0,                 34.417,                      0,             0.00022338,             0.00022338,             0.00022338
                     22,                 1.0223,                 1.9614,                 1.2368,                      0,                      0,                      0,                      0,                      0,                 34.417,                      0,             0.00022877,             0.00022877,             0.00022877
                     23,                 1.0431,                 1.8095,                 1.2459,                      0,                      0,                      0,                      0,                      0,                 34.719,                      0,             0.00023361,             0.00023361,             0.00023361
